img0,img1,uv_clicked,uv_groundtruth
8310336.jpg,8312848.jpg,"[[66.7302017211914, 393.22540283203125], [61.550411224365234, 381.364013671875], [139.224853515625, 352.0708923339844]]","[[294.7010498046875, 447.4247741699219], [290.7937927246094, 439.2439880371094], [339.4531555175781, 414.61627197265625]]"
8310366.jpg,8312630.jpg,"[[223.0147247314453, 360.8706359863281], [491.5661315917969, 353.3048095703125], [284.1338806152344, 408.1573486328125], [511.4444885253906, 347.3504638671875]]","[[182.07533264160156, 74.86318969726562], [348.7170104980469, 292.3314514160156], [179.3011474609375, 152.51873779296875], [366.01544189453125, 305.1274108886719]]"
8310370.jpg,8312632.jpg,"[[208.45263671875, 108.3924789428711], [280.58050537109375, 149.68858337402344], [216.34393310546875, 122.5256576538086]]","[[237.18812561035156, 349.64739990234375], [268.8583984375, 425.9354553222656], [230.97970581054688, 368.447265625]]"
8310518.jpg,8312844.jpg,"[[182.55738830566406, 325.48101806640625]]","[[91.61402130126953, 260.6098937988281]]"
8310548.jpg,8312844.jpg,"[[171.04515075683594, 294.1576232910156]]","[[67.85160064697266, 293.1634826660156]]"
8310680.jpg,8314144.jpg,"[[317.52294921875, 365.3431396484375], [334.1310729980469, 379.5472412109375], [263.5181579589844, 355.0067443847656]]","[[362.6702575683594, 318.0426940917969], [393.2527160644531, 330.29095458984375], [313.163330078125, 345.3079833984375]]"
8310754.jpg,8313088.jpg,"[[284.92041015625, 330.9248046875], [127.6988754272461, 286.50244140625], [297.36865234375, 355.8484191894531]]","[[467.253662109375, 205.54885864257812], [398.3798522949219, 369.0320129394531], [491.6206359863281, 195.85406494140625]]"
8310944.jpg,8312664.jpg,"[[465.62841796875, 392.7147521972656], [429.3265686035156, 378.12420654296875], [423.62939453125, 357.628662109375]]","[[563.740478515625, 314.6631774902344], [552.330078125, 353.3673095703125], [528.9970092773438, 362.3031921386719]]"
8310968.jpg,8313706.jpg,"[[450.1075439453125, 280.0880126953125], [471.05126953125, 262.6815490722656], [283.14208984375, 419.34429931640625]]","[[348.59368896484375, 268.2724914550781], [364.3404235839844, 288.03948974609375], [222.0727996826172, 109.01881408691406]]"
8311104.jpg,8312666.jpg,"[[250.66033935546875, 330.1807556152344], [307.2012939453125, 345.7464904785156]]","[[213.36875915527344, 168.16796875], [199.26605224609375, 216.1584930419922]]"
8311208.jpg,8315456.jpg,"[[406.0618896484375, 377.63037109375], [422.5583801269531, 373.0846252441406]]","[[177.06900024414062, 213.06614685058594], [183.46112060546875, 227.97715759277344]]"
8311530.jpg,8312578.jpg,"[[527.3133544921875, 183.15310668945312], [521.43701171875, 199.77908325195312], [587.41552734375, 169.6215362548828]]","[[450.3775329589844, 223.2449493408203], [442.6911315917969, 238.47930908203125], [517.6453247070312, 208.66665649414062]]"
8311566.jpg,8312536.jpg,"[[193.63330078125, 255.56051635742188], [161.40274047851562, 238.615966796875], [70.92919921875, 183.75674438476562]]","[[359.8888244628906, 231.2665557861328], [320.88232421875, 231.06201171875], [223.39845275878906, 222.154541015625]]"
8311880.jpg,8314974.jpg,"[[330.56396484375, 231.23031616210938], [462.15966796875, 241.911865234375], [473.3658142089844, 214.509765625]]","[[369.65692138671875, 342.2135925292969], [379.9100646972656, 201.34463500976562], [351.9248352050781, 203.07180786132812]]"
8312092.jpg,8314962.jpg,"[[301.20367431640625, 166.6205596923828], [270.10107421875, 193.25146484375], [333.9151306152344, 101.4200439453125]]","[[423.5117492675781, 154.5465545654297], [443.4643249511719, 182.37550354003906], [365.6906433105469, 125.09475708007812]]"
8312192.jpg,8312990.jpg,"[[378.5938720703125, 268.63531494140625], [576.9750366210938, 254.61561584472656]]","[[398.61492919921875, 110.589111328125], [481.293212890625, 261.830810546875]]"
8312242.jpg,8314868.jpg,"[[386.28466796875, 327.3642883300781], [357.33660888671875, 335.4655456542969], [406.43896484375, 338.04583740234375]]","[[332.3681335449219, 335.00616455078125], [353.5821838378906, 306.73223876953125], [354.0865783691406, 339.07861328125]]"
8312300.jpg,8314958.jpg,"[[511.67437744140625, 233.00717163085938], [518.6304321289062, 304.29522705078125], [292.91351318359375, 188.1075897216797]]","[[277.0379638671875, 185.54244995117188], [351.22943115234375, 177.51788330078125], [230.2957305908203, 400.7608947753906]]"
8311706.jpg,8312568.jpg,"[[530.5679321289062, 337.03302001953125], [438.44873046875, 282.264404296875], [488.1153259277344, 338.6093444824219]]","[[453.08837890625, 318.197509765625], [499.4638977050781, 365.0229187011719], [491.4556579589844, 325.8147277832031]]"
